Quý,Năm,Tiền và các khoản tương đương tiền,Các khoản đầu tư tài chính ngắn hạn,Các khoản phải thu ngắn hạn,Hàng tồn kho,Tài sản ngắn hạn khác,Các khoản phải thu dài hạn,Tài sản cố định,Tài sản dở dang dài hạn,Bất động sản đầu tư,Đầu tư tài chính dài hạn,Tài sản dài hạn khác,Nợ ngắn hạn,Nợ dài hạn,Vốn chủ sở hữu,Nguồn kinh phí và quỹ khác,Debt Ratio,D/E,Asset Leverage,Equity/Asset,Long Debt/Equity,Financial Leverage,Current Ratio,Quick Ratio
1,2017,"2,094,407,525,134","5,874,858,666,667","11,093,742,547,656","5,618,845,410,631","1,719,855,690,173","193,215,966,736","12,392,429,668,044","2,072,181,565,216",,"3,921,487,950,463","1,899,969,370,194","20,045,766,979,948","8,879,007,817,656","17,956,219,563,310",,0.6169829627530127,1.610849917245726,2.610849917245726,0.3830170372469873,0.494480911549918,1.610849917245726,1.3170715726003859,1.0367707282250327
2,2017,"2,616,373,356,453","6,335,500,000,000","5,942,489,150,755","4,666,908,147,526","1,757,933,598,832","6,233,750,966,025","12,842,915,476,188","3,468,833,296,713",,"3,069,211,764,247","1,751,461,267,817","21,176,791,321,574","8,804,013,007,608","18,704,572,695,374",,0.6158071717111329,1.6028596224813427,2.6028596224813425,0.38419282828886714,0.47068773775224504,1.6028596224813427,1.006724953267444,0.7863465174289818
3,2017,"2,059,794,927,693","6,268,472,324,629","6,464,065,482,839","5,849,659,780,434","1,819,903,280,546","7,309,874,697,206","12,622,396,416,728","2,707,197,084,208",,"2,981,808,374,230","1,944,267,400,054","23,091,557,539,395","8,513,053,095,780","18,422,829,133,392",,0.6317455136897223,1.7155134212199024,2.7155134212199026,0.36825448631027774,0.4620926044605062,1.7155134212199024,0.9727319500999543,0.7194073412919829
4,2017,"1,937,028,931,860","3,971,500,000,000","7,257,853,544,606","3,927,539,938,242","1,575,903,406,562","10,087,172,356,665","14,453,535,992,675","3,233,004,113,449",,"3,508,696,521,478","2,014,319,329,418","21,959,384,315,601","11,548,706,082,859","18,458,463,736,495",,0.6448010832398252,1.815323901100705,2.815323901100705,0.35519891676017484,0.6256591148496053,1.815323901100705,0.8501980544147615,0.6713433159669405
1,2018,"1,960,713,454,856","2,471,500,000,000","7,379,375,647,541","3,918,521,338,540","1,498,349,892,626","11,803,648,628,926","14,502,357,617,778","2,434,895,718,300",,"3,638,354,199,634","2,080,017,613,783","20,444,136,049,549","12,908,589,759,969","18,335,008,302,466",,0.6452735137751965,1.8190733955125706,2.8190733955125706,0.3547264862248035,0.7040405734767426,1.8190733955125706,0.8427091412328506,0.6510394453825119
2,2018,"2,589,314,970,034","2,098,000,000,000","7,264,360,030,181","3,892,832,493,061","1,542,764,177,294","12,441,870,281,003","13,953,536,356,236","2,603,988,367,130",,"2,758,066,276,626","1,850,421,474,967","19,913,736,039,080","13,351,197,386,197","17,730,221,001,255",,0.6523155738885216,1.876171392501109,2.8761713925011088,0.3476844261114785,0.7530192311337778,1.876171392501109,0.8731295642589666,0.6776447749948399
3,2018,"7,452,403,491,459","4,964,000,000,000","7,620,845,939,743","4,436,739,640,204","1,615,360,372,897","13,702,250,591,567","13,642,946,477,856","2,055,079,603,050",,"1,694,896,371,893","1,844,245,961,893","21,325,486,902,793","13,165,385,541,197","24,537,896,006,572",,0.5843061501931373,1.4056165383842318,2.4056165383842316,0.4156938498068628,0.53653277924362,1.4056165383842318,1.2233882191400787,1.0153395278990398
4,2018,"3,678,318,752,551","7,154,000,000,000","7,208,043,333,127","4,852,879,053,228","1,509,993,509,234","15,082,496,525,052","13,942,965,899,636","1,238,618,871,449",,"1,442,099,256,069","1,905,086,535,662","17,235,971,751,400","15,734,070,463,039","25,044,459,521,569",,0.5683069099596422,1.3164605203815345,2.3164605203815345,0.4316930900403579,0.6282455586429554,1.3164605203815345,1.4158316687980088,1.134276377154309
1,2019,"3,236,241,699,037","6,889,000,000,000","6,049,640,520,532","3,505,011,609,974","1,499,464,211,890","17,918,898,329,268","13,222,915,802,987","2,782,797,007,951",,"2,382,537,940,169","1,957,379,736,277","17,653,499,783,663","16,819,129,189,966","24,971,257,884,456",,0.5799188242169995,1.3804922897010876,2.3804922897010874,0.4200811757830005,0.6735395256334082,1.3804922897010876,1.1997257371613599,1.001180879035402
2,2019,"3,623,039,880,916","6,218,000,000,000","7,102,796,413,931","4,081,271,990,581","1,463,357,091,108","17,107,272,494,752","13,118,725,254,259","2,357,529,355,152",,"2,171,655,341,605","1,879,125,384,094","15,116,048,953,279","18,892,501,241,386","25,114,223,011,733",,0.5752191304684054,1.3541549813735707,2.3541549813735707,0.4247808695315945,0.752263019746209,1.3541549813735707,1.487721126469213,1.2177251769194675
3,2019,"3,846,729,233,089","6,112,000,000,000","9,210,984,452,040","4,375,163,536,265","1,562,937,616,740","16,177,048,102,862","13,161,898,408,527","2,220,475,063,653",,"2,489,934,246,502","2,152,415,316,346","17,852,862,318,847","17,553,786,267,787","25,902,937,389,390",,0.577505915640668,1.3668970454731817,2.3668970454731815,0.42249408435933195,0.6776755085304393,1.3668970454731817,1.4063747532309179,1.1613068499375503
4,2019,"4,830,183,052,466","5,691,000,000,000","7,170,440,942,204","3,575,297,774,539","1,500,874,801,794","18,717,397,915,198","13,408,430,054,005","2,771,491,534,617",,"2,123,301,771,160","2,033,436,281,850","18,913,517,574,091","17,793,576,680,737","25,114,759,873,005",,0.593755958514709,1.4615745657310946,2.4615745657310946,0.40624404148529103,0.7084908145931632,1.4615745657310946,1.2037843559144095,1.014750361548566
1,2020,"3,777,640,045,853","5,787,000,000,000","9,429,440,880,253","2,237,933,572,076","1,541,831,506,921","21,068,769,659,133","10,547,404,574,274","2,150,050,749,461",,"2,726,663,060,038","1,903,588,632,431","15,229,684,563,124","16,335,527,762,116","29,605,110,355,200",,0.5160216742707062,1.0662082304886837,2.0662082304886837,0.48397832572929383,0.5517806745566392,1.0662082304886837,1.49535900830447,1.3484135109896562
2,2020,"3,717,277,566,620","6,428,000,000,000","9,304,432,152,859","2,107,333,115,921","1,283,246,311,448","20,097,363,806,194","9,651,439,176,926","1,919,549,035,469",,"2,947,587,664,166","1,872,894,695,697","12,419,863,803,954","17,472,569,656,219","29,436,690,065,127",,0.5038408067401472,1.0154821548902984,2.0154821548902984,0.49615919325985275,0.5935643449573282,1.0154821548902984,1.8390128512984614,1.6693384370548763
3,2020,"4,397,967,879,829","6,624,433,435,616","9,665,112,709,181","2,483,433,854,085","1,180,253,780,534","19,205,354,416,170","9,966,594,648,622","1,425,130,539,975",,"3,641,286,463,069","2,028,681,694,085","14,889,155,710,663","14,231,804,113,794","31,497,289,596,709",,0.4803992213983149,0.924554467934273,1.924554467934273,0.5196007786016851,0.45184218375669416,0.924554467934273,1.6354991600904323,1.4687043530278352
4,2020,"4,884,832,096,245","6,632,433,435,616","11,988,617,549,655","1,983,230,223,052","1,092,103,004,229","15,338,930,403,767","10,343,549,114,849","1,005,976,813,962",,"3,775,384,356,636","1,959,203,713,001","15,970,117,759,748","12,765,060,567,775","30,269,082,383,489",,0.4870017517592613,0.9493243952184456,1.9493243952184456,0.5129982482407387,0.4217194431615149,0.9493243952184456,1.6644345839323629,1.5402507643207974
1,2021,"5,245,664,092,175","6,384,275,234,612","11,981,958,558,480","2,125,559,862,645","1,116,602,455,562","14,194,054,097,762","10,455,684,320,268","1,214,993,546,386",,"2,291,116,373,420","1,708,974,373,294","16,788,384,840,816","11,053,773,638,561","28,876,724,435,227",,0.4908798807144382,0.964173015600484,1.964173015600484,0.5091201192855618,0.38279181087022435,0.964173015600484,1.5995618672134726,1.472952912105574
2,2021,"5,273,447,740,328","6,488,275,234,612","12,835,656,174,307","1,901,216,931,900","1,273,826,897,757","13,140,274,002,091","9,922,137,144,211","1,388,071,933,575",,"1,161,030,748,063","1,843,949,141,880","16,837,752,375,190","9,657,174,970,934","28,732,958,602,600",,0.479738213603234,0.9221092652716423,1.9221092652716423,0.520261786396766,0.336100960033407,0.9221092652716423,1.6494139098889444,1.536499971642567
3,2021,"5,582,981,768,428","6,522,888,945,371","13,323,949,723,460","1,772,198,158,021","1,429,959,601,013","11,877,984,322,772","9,450,672,517,458","1,257,249,841,646",,"1,412,290,615,930","1,455,835,255,606","16,109,086,029,805","8,880,053,048,963","29,096,871,670,937",,0.4620259237533857,0.85882562776424,1.85882562776424,0.5379740762466143,0.3051892708394736,0.85882562776424,1.7773806746899339,1.6673683403624566
4,2021,"6,149,490,089,685","6,443,699,352,124","13,912,796,371,147","1,721,927,904,702","799,637,398,305","10,886,361,994,877","9,326,594,245,262","1,019,904,334,070",,"756,047,136,259","1,397,650,069,001","15,411,008,368,926","8,941,872,756,182","28,061,227,770,324",,0.46462453790243496,0.8678480259107643,1.8678480259107642,0.535375462097565,0.3186557918765917,0.8678480259107643,1.8835594933873845,1.7718258635378277
1,2022,"6,071,335,355,197","9,171,742,578,794","14,066,291,798,936","1,815,270,817,752","876,011,332,614","7,286,524,551,492","8,899,186,217,528","1,113,849,484,790",,"918,711,373,611","1,882,391,253,313","15,094,015,351,476","7,044,119,781,789","29,963,179,630,762",,0.42490549871018085,0.7388446555430539,1.738844655543054,0.5750945012898192,0.23509253252138446,0.7388446555430539,2.1200887330596063,1.9998244577503532
2,2022,"6,829,389,964,566","9,103,140,064,338","17,379,521,132,463","1,707,197,763,329","878,621,813,363","4,060,123,667,776","8,909,752,282,787","943,638,520,504",,"998,459,109,885","1,812,440,197,898","14,521,569,234,347","7,311,446,576,467","30,789,268,706,095",,0.4149005694307788,0.7091112172629149,1.709111217262915,0.5850994305692212,0.23746736716158628,0.7091112172629149,2.472037984238777,2.354475086195288
3,2022,"7,469,713,740,172","9,253,500,444,417","18,373,698,895,755","2,317,418,247,110","857,579,119,879","4,100,803,095,984","8,745,507,635,290","1,045,654,075,160",,"836,751,408,469","1,701,519,950,106","16,931,682,985,076","5,717,466,826,007","32,052,996,801,259",,0.41404499116992344,0.7066156700266283,1.7066156700266282,0.5859550088300766,0.17837542185080257,0.7066156700266283,2.2603724910906258,2.1235037433617303
4,2022,"7,819,344,672,129","9,071,894,921,704","14,624,766,244,695","2,148,623,162,041","720,913,998,816","3,108,600,609,244","9,851,835,234,432","570,186,605,388",,"877,859,597,438","1,465,080,824,512","16,545,821,683,436","4,539,392,752,501","29,173,891,434,462",,0.41953023379103754,0.7227426098881634,1.7227426098881633,0.5804697662089624,0.1555977803886248,0.7227426098881634,2.078200989788759,1.9483420318506355
1,2023,"8,518,257,990,283","9,119,200,000,000","14,981,026,894,760","1,951,143,989,365","851,874,795,808","2,162,216,425,156","10,092,811,217,706","476,993,871,878",,"952,592,574,866","1,396,686,715,811","16,608,175,432,727","4,203,675,836,863","29,690,953,206,043",,0.4120929814824733,0.7009492462287861,1.700949246228786,0.5879070185175267,0.1415810333771105,0.7009492462287861,2.132775139189382,2.01529420353403
2,2023,"8,193,119,397,301","9,622,315,000,000","12,511,301,384,221","2,453,567,719,032","956,557,266,471","1,864,348,787,178","9,768,902,525,680","825,194,000,230",,"942,991,639,467","1,286,569,651,380","16,119,787,245,172","3,554,955,334,607","28,750,124,791,181",,0.4062941965139544,0.6843359019371685,1.6843359019371686,0.5937058034860456,0.12365008362320118,0.6843359019371685,2.0928849899758726,1.9406765469167457
3,2023,"8,984,683,874,740","11,237,120,156,164","11,943,237,946,185","2,827,815,035,891","1,103,521,256,463","1,842,091,534,762","9,957,713,961,028","1,147,452,272,684",,"632,217,857,705","1,127,500,080,048","16,927,449,570,647","3,961,196,199,326","29,914,708,205,697",,0.41116666785379336,0.6982734254447762,1.6982734254447762,0.5888333321462066,0.1324163408878454,0.6982734254447762,2.132416825038772,1.9653618281185883
4,2023,"8,900,862,523,230","14,215,182,007,744","10,944,320,309,111","2,514,299,769,920","1,037,651,419,993","1,584,172,002,964","10,575,256,722,911","970,507,245,775",,"629,267,223,837","999,831,888,272","17,945,902,820,115","4,062,692,024,519","30,362,756,269,123",,0.4202411122987572,0.7248549719781319,1.7248549719781319,0.5797588877012427,0.13380511270152706,0.7248549719781319,2.095872044277401,1.9557676541487639
1,2024,"10,378,641,973,896","16,316,430,000,000","11,096,845,338,194","2,513,454,246,989","1,000,106,403,868","401,679,503,208","10,662,895,923,998","1,297,418,788,824",,"690,563,104,632","1,009,817,821,212","18,764,499,497,796","4,489,054,835,833","32,114,298,771,192",,0.4199829509301357,0.7240872515793029,1.7240872515793029,0.5800170490698643,0.13978367915851517,0.7240872515793029,2.201256578562011,2.067309267721974
2,2024,"11,162,946,639,406","18,355,365,000,000","9,905,583,601,818","2,499,350,188,943","1,035,529,235,046","355,124,067,082","10,687,499,783,747","1,450,268,293,175",,"680,164,135,333","1,009,399,330,132","18,515,783,687,883","5,115,529,232,044","33,509,917,354,755",,0.4135597502246553,0.7052035571962925,1.7052035571962925,0.5864402497753447,0.15265717243907542,0.7052035571962925,2.3201164687037172,2.1851316238235836
3,2024,"12,517,577,633,087","20,505,675,000,000","9,000,932,644,890","2,898,358,032,144","1,194,839,325,619","169,891,243,663","10,189,534,263,520","1,450,530,424,660",,"656,087,586,558","1,079,673,171,601","20,601,650,731,297","5,000,675,918,930","34,060,772,675,515",,0.4291149293208227,0.7516660556744076,1.7516660556744077,0.5708850706791774,0.14681627943586836,0.7516660556744076,2.2385285158572645,2.0978427975162113
4,2024,"13,376,730,196,292","23,487,420,000,000","7,981,486,163,061","2,767,551,058,852","1,044,968,631,795","142,842,684,250","11,493,487,175,729","1,473,203,771,415",,"644,759,288,710","1,008,443,916,727","22,452,716,494,342","5,101,865,087,267","35,866,311,305,222",,0.4344716753007203,0.7682580276270885,1.7682580276270885,0.5655283246992797,0.14224671848326337,0.7682580276270885,2.1671389322651304,2.0438776306961457
