Quý,Năm,Tiền và các khoản tương đương tiền,Các khoản đầu tư tài chính ngắn hạn,Các khoản phải thu ngắn hạn,Hàng tồn kho,Tài sản ngắn hạn khác,Các khoản phải thu dài hạn,Tài sản cố định,Tài sản dở dang dài hạn,Bất động sản đầu tư,Đầu tư tài chính dài hạn,Tài sản dài hạn khác,Nợ ngắn hạn,Nợ dài hạn,Vốn chủ sở hữu,Nguồn kinh phí và quỹ khác,Debt Ratio,D/E,Asset Leverage,Equity/Asset,Long Debt/Equity,Financial Leverage,Current Ratio,Quick Ratio
1,2018,"605,771,632,622","83,859,066,193","1,055,328,392,371","1,894,544,286,735","121,471,171,941","77,850,762,583","46,069,885,728",,,,"234,254,640,551","3,258,812,894,641",,"860,336,944,083",,0.7911372545870997,3.7878332635296084,4.787833263529608,0.20886274541290026,0.0,3.7878332635296084,1.1540934295573664,0.5727331772242209
2,2018,"507,443,363,860","151,050,000,000","1,153,422,642,508","1,897,586,039,251","100,937,034,852","80,782,789,383","45,885,956,000",,,,"230,449,655,166","3,224,572,912,560",,"942,984,568,460",,0.7737320786204953,3.4195394287587235,4.419539428758724,0.2262679213795047,0.0,3.4195394287587235,1.1816879890136764,0.5932112850570896
3,2018,"874,117,915,376","260,208,572,917","887,950,999,989","1,771,161,973,524","85,066,535,735","83,146,857,183","45,649,449,925",,,,"224,104,173,962","3,207,538,911,642",,"1,023,867,566,969",,0.7580313845657545,3.1327673764854356,4.132767376485435,0.2419686154342455,0.0,3.1327673764854356,1.2091843947593823,0.6569971813493014
4,2018,"1,068,737,461,019","4,140,042,971","1,273,589,841,159","2,506,218,917,201","149,775,001,626","84,027,534,483","45,591,818,347",,,,"222,780,778,099","4,196,094,262,282",,"1,158,767,132,623",,0.7836046449819347,3.6211712812251307,4.621171281225131,0.21639535501806534,0.0,3.6211712812251307,1.1921708501504125,0.5948966326169818
1,2019,"542,460,403,586","15,941,864,257","1,291,940,603,441","2,385,188,894,554","112,299,792,535","88,293,236,483","47,312,631,054",,,,"221,708,211,951","3,482,404,846,946",,"1,222,740,790,915",,0.7401268982885578,2.848031956421484,3.848031956421484,0.2598731017114421,0.0,2.848031956421484,1.2485141014508874,0.5635883103999808
2,2019,"1,099,813,840,325","544,079,758,891","1,025,593,904,870","2,144,724,859,775","123,409,104,545","93,616,524,171","47,968,124,049",,,,"222,281,134,651","4,046,351,680,037",,"1,255,135,571,240",,0.7632484033725313,3.2238363510321384,4.223836351032138,0.23675159662746867,0.0,3.2238363510321384,1.2202650335031804,0.6902258699880139
3,2019,"1,152,391,363,079","573,870,236,736","1,189,116,956,040","2,324,967,913,065","166,849,214,621","99,556,393,641","48,454,798,854",,,,"247,151,244,740","4,475,587,869,483",,"1,326,770,251,293",,0.7713394754897411,3.3732953125240255,4.373295312524025,0.22866052451025884,0.0,3.3732953125240255,1.2081531725497359,0.6886755126610988
4,2019,"919,649,553,585","444,643,176,666","1,178,443,348,858","3,383,542,174,980","251,301,524,223","105,270,293,641","48,570,958,580",,,,"261,937,142,321","5,308,437,835,077","2,711,700,831","1,282,208,636,946",,0.805530261919476,4.142188239004724,5.142188239004724,0.19446973808052406,0.002114867076124837,4.142188239004724,1.1637283830455543,0.5263389513332168
1,2020,"912,494,905,900","465,801,982,952","1,065,031,199,348","3,011,698,042,601","167,197,682,330","112,559,584,283","49,976,199,297",,,,"261,168,395,937","4,708,402,673,951","22,541,759,496","1,314,983,559,201",,0.7825009558830253,3.5977213557875807,4.597721355787581,0.21749904411697477,0.01714223675138315,3.5977213557875807,1.1940830473645911,0.5544397859113882
2,2020,"603,694,981,738","403,593,121,087","833,995,132,665","2,313,697,880,376","138,738,507,889","114,462,405,283","50,016,335,943",,,,"254,767,878,974","3,412,416,663,677","6,279,401,759","1,294,270,178,519",,0.7253809784487483,2.641408356752781,3.641408356752781,0.27461902155125173,0.004851693149714195,2.641408356752781,1.258263584707843,0.5802403218971086
3,2020,"498,712,482,616","447,680,493,260","1,223,320,646,470","2,011,971,051,867","154,947,770,807","115,541,205,283","49,699,302,655",,,,"250,443,589,202","3,527,736,600,422","15,000,000,000","1,209,579,941,738",,0.7454757209442476,2.9288982713549094,3.9288982713549094,0.25452427905575237,0.012400999291082045,2.9288982713549094,1.2292959866961828,0.6589668267395349
4,2020,"701,504,239,399","788,158,684,912","1,501,046,972,372","1,829,530,448,764","144,664,956,303","116,400,384,163","50,627,870,323",,,,"258,449,996,261","4,165,253,647,733",,"1,225,129,904,764",,0.7727193449533883,3.399846523651191,4.399846523651191,0.2272806550466117,0.0,3.399846523651191,1.1919815026036222,0.7527452391026591
1,2021,"590,833,458,045","1,999,927,511,323","1,835,741,986,169","2,014,710,382,969","125,638,846,039","99,427,730,873","49,749,147,882",,,"225,000,000,000","147,098,094,924","5,706,207,996,457",,"1,381,919,161,767",,0.8050374759200492,4.129190877678199,5.129190877678199,0.19496252407995082,0.0,4.129190877678199,1.1508259405584893,0.7977525187309045
2,2021,"609,174,092,371","1,873,642,389,041","2,153,640,057,046","2,468,860,831,459","184,546,401,591","140,319,206,637","51,362,955,138",,,,"233,244,232,445","6,428,397,385,622","100,700,000","1,286,292,080,106",,0.8332693368874512,4.997697012246428,5.997697012246428,0.16673066311254883,7.828704036776901e-05,4.997697012246428,1.1340095103350003,0.7499540944422385
3,2021,"348,801,453,330","1,737,642,389,041","2,870,057,716,985","2,833,512,905,176","170,674,055,854","130,146,512,125","58,789,848,920",,,,"349,148,671,920","7,154,892,484,056","100,700,000","1,343,780,369,295",,0.8418853778301744,5.32452575401871,6.32452575401871,0.15811462216982566,7.493784125811511e-05,5.32452575401871,1.1126216834320908,0.7165971573486849
4,2021,"1,105,209,549,882","1,820,500,000,000","1,984,613,153,455","4,927,634,104,844","338,689,160,261","136,776,859,875","171,953,389,004","90,909,091",,,"255,318,346,272","9,061,422,080,443","89,153,479","1,679,274,238,762",,0.8436544289025476,5.396087800764667,6.396087800764667,0.15634557109745237,5.309048215122148e-05,5.396087800764667,1.1230738263926536,0.5792702091349202
1,2022,"919,122,219,286","1,611,500,000,000","2,214,657,641,404","5,114,606,753,002","290,821,718,568","143,235,089,672","171,096,165,441","19,098,060,892",,,"298,362,478,389","8,933,784,844,136","86,700,000","1,848,628,582,518",,0.8285528809827465,4.832702268384954,5.832702268384954,0.17144711901725357,4.689963187840941e-05,4.832702268384954,1.1362158938630327,0.5637142227086004
2,2022,"444,415,298,084","1,947,000,000,000","1,483,693,130,424","5,114,908,150,288","309,416,792,061","158,295,576,225","171,152,942,334","54,343,014,455",,,"334,916,286,028","8,162,073,308,968","149,931,215","1,855,917,949,716",,0.8147442809463229,4.397944015484098,5.397944015484098,0.18525571905367713,8.078547600821636e-05,4.397944015484098,1.1393469549751944,0.5126792007578874
3,2022,"407,960,046,455","1,904,000,000,000","923,959,406,999","5,458,008,042,782","356,045,716,107","159,645,636,876","172,973,468,610","54,309,041,852",,,"489,290,500,339","7,984,857,608,719","149,931,215","1,941,184,320,086",,0.8044381624432868,4.113472099125673,5.113472099125673,0.1955618375567132,7.723698025407377e-05,4.113472099125673,1.1333919345613572,0.44984711632663094
4,2022,"745,556,075,005","1,119,000,000,000","606,203,194,429","6,520,937,899,049","430,297,343,564","170,162,186,921","255,563,905,078","1,795,608,000",,,"614,798,496,268","8,414,883,961,563","95,206,582","2,049,335,540,169",,0.8041596036345521,4.106198815763988,5.106198815763988,0.1958403963654479,4.645729317325396e-05,4.106198815763988,1.119682048508835,0.34475301456909824
1,2023,"686,823,088,419","235,000,000,000","541,086,256,905","6,303,180,810,687","389,468,130,487","176,022,315,671","920,258,487,965","1,795,608,000",,,"186,832,418,717","7,388,607,433,183","453,700,000","2,051,405,983,668",,0.7827007966580074,3.6019496832952824,4.601949683295283,0.2172992033419926,0.00022116538784232526,3.6019496832952824,1.1038018138398509,0.2507072533711537
2,2023,"382,450,140,874","342,000,000,000","512,071,070,037","6,064,919,917,843","386,346,198,079","177,744,173,804","977,888,031,471","137,668,614,460",,,"197,404,706,398","7,400,600,046,212","474,999,000","1,777,417,807,754",,0.8063497094537004,4.16394784215886,5.16394784215886,0.19365029054629956,0.00026724104930636616,4.16394784215886,1.0388059453054752,0.2192886250920512
3,2023,"541,304,821,030","1,037,000,000,000","733,520,543,384","7,289,979,291,383","454,719,972,197","180,011,523,340","1,263,675,776,619","19,176,148,800",,,"200,669,819,702","9,924,142,271,029","540,999,000","1,795,374,626,426",,0.8468117954460743,5.527917752622904,6.527917752622904,0.15318820455392565,0.0003013293114635083,5.527917752622904,1.0133394255492947,0.2787692136062199
4,2023,"960,822,549,973","1,194,000,000,000","394,464,296,948","8,426,860,753,034","439,160,418,458","179,315,098,485","1,307,637,254,001","770,956,800",,,"195,418,574,905","11,378,723,422,861","555,901,586","1,719,170,578,157",,0.8687500741736451,6.619051924821743,7.619051924821743,0.13124992582635486,0.0003233545251780323,6.619051924821743,1.0032151757444512,0.26263466948980485
1,2024,"870,875,793,934","1,573,000,000,000","655,105,568,311","7,537,098,301,060","284,921,060,561","183,546,858,108","1,347,431,194,829","997,708,800",,,"183,907,860,747","10,856,491,879,969","534,602,586","1,779,857,863,795",,0.8591537427254299,6.099940171293076,7.099940171293076,0.14084625727457012,0.0003003625159483939,6.099940171293076,1.00594196031372,0.3116939118288792
2,2024,,,,,,,,,,,,,,,,,,,,,,,
3,2024,"2,169,613,383,180","626,000,000,000","487,856,350,848","9,116,601,624,836","291,431,154,486","183,269,982,816","1,430,264,326,819",,,,"169,714,737,240","12,483,193,527,767","549,602,586","1,991,008,429,872",,0.8624495611141908,6.270060409114174,7.270060409114174,0.13755043888580917,0.0002760423199390137,6.270060409114174,1.0166871550232437,0.28637711019717565
4,2024,"2,097,787,236,988","986,000,000,000","417,127,103,606","10,234,733,890,772","290,510,499,090","182,805,424,079","1,445,982,801,672","8,230,000,000",,,"169,373,442,894","13,712,183,502,929","553,181,844","2,119,813,714,328",,0.8661104079322327,6.468840442010284,7.468840442010284,0.13388959206776735,0.0002609577625906452,6.468840442010284,1.0228975368846205,0.27650044494183806
