Quý,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản, Khấu hao TSCĐ và BĐSĐT, Các khoản dự phòng," Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ"," Lãi, lỗ từ hoạt động đầu tư", Chi phí lãi vay, Các khoản điều chỉnh khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động," Tăng, giảm các khoản phải thu"," Tăng, giảm hàng tồn kho"," Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)"," Tăng, giảm chi phí trả trước"," Tăng, giảm chứng khoán kinh doanh", Tiền lãi vay đã trả, Thuế thu nhập doanh nghiệp đã nộp, Tiền thu khác từ hoạt động kinh doanh, Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5.Tiền chi đầu tư góp vốn vào đơn vị khác,6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3.Tiền thu từ đi vay,4.Tiền chi trả nợ gốc vay,5.Tiền chi trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu từ vốn góp của cổ đông không kiểm soát,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
'2/2011,,,,"2,512,152,858","-2,480,000",,,,,"20,295,037,484","-51,684,947,814","-1,694,648,642","69,057,928,646","-1,912,322,910",,"-1,788,000,000","-7,882,319,999","3,638,765,738","-3,346,922,699","24,682,569,804",,"-15,259,088,901",,,"8,080,478,000","-159,253,802,685",,"2,286,972,448","-164,145,441,138",,,,"135,741,113,490",,,,,"135,741,113,490","-3,721,757,844","4,355,914,330",,"634,156,486"
'3/2011,,,,"2,512,152,858","-2,480,000",,,,,"20,295,037,484","-51,684,947,814","-1,694,648,642","69,057,928,646","-1,912,322,910",,"-1,788,000,000","-7,882,319,999","3,638,765,738","-3,346,922,699","24,682,569,804",,"-15,259,088,901",,,"8,080,478,000","-159,253,802,685",,"2,286,972,448","-164,145,441,138",,,,"135,741,113,490",,,,,"135,741,113,490","-3,721,757,844","4,355,914,330",,"634,156,486"
'4/2011,,,,"2,512,152,858","-2,480,000",,,,,"20,295,037,484","-51,684,947,814","-1,694,648,642","69,057,928,646","-1,912,322,910",,"-1,788,000,000","-7,882,319,999","3,638,765,738","-3,346,922,699","24,682,569,804",,"-15,259,088,901",,,"8,080,478,000","-159,253,802,685",,"2,286,972,448","-164,145,441,138",,,,"135,741,113,490",,,,,"135,741,113,490","-3,721,757,844","4,355,914,330",,"634,156,486"
'1/2012,,"38,625,625,724",,"9,608,590,770","1,100,000,000",,"-30,983,386,558","12,315,680,965",,"30,666,510,901","-469,695,921,024","-163,818,910","683,683,175,181","201,664,923",,"-30,250,823,485","-6,975,695,352","410,927,359",,"207,876,019,593",,"-212,883,063,932","880,000,000","-1,033,153,617,133","788,865,000,000","-269,606,474,360","280,360,000,000","40,921,865,582","-404,616,289,843",,"275,700,000,000",,"694,934,751,423","-756,066,211,321",,"-11,871,160,000",,"202,697,380,102","5,957,109,852","634,156,486",,"6,591,266,338"
'2/2012,,"38,625,625,724",,"9,608,590,770","1,100,000,000",,"-30,983,386,558","12,315,680,965",,"30,666,510,901","-469,695,921,024","-163,818,910","683,683,175,181","201,664,923",,"-30,250,823,485","-6,975,695,352","410,927,359",,"207,876,019,593",,"-212,883,063,932","880,000,000","-1,033,153,617,133","788,865,000,000","-269,606,474,360","280,360,000,000","40,921,865,582","-404,616,289,843",,"275,700,000,000",,"694,934,751,423","-756,066,211,321",,"-11,871,160,000",,"202,697,380,102","5,957,109,852","634,156,486",,"6,591,266,338"
'3/2012,,"38,625,625,724",,"9,608,590,770","1,100,000,000",,"-30,983,386,558","12,315,680,965",,"30,666,510,901","-469,695,921,024","-163,818,910","683,683,175,181","201,664,923",,"-30,250,823,485","-6,975,695,352","410,927,359",,"207,876,019,593",,"-212,883,063,932","880,000,000","-1,033,153,617,133","788,865,000,000","-269,606,474,360","280,360,000,000","40,921,865,582","-404,616,289,843",,"275,700,000,000",,"694,934,751,423","-756,066,211,321",,"-11,871,160,000",,"202,697,380,102","5,957,109,852","634,156,486",,"6,591,266,338"
'4/2012,,"38,625,625,724",,"9,608,590,770","1,100,000,000",,"-30,983,386,558","12,315,680,965",,"30,666,510,901","-469,695,921,024","-163,818,910","683,683,175,181","201,664,923",,"-30,250,823,485","-6,975,695,352","410,927,359",,"207,876,019,593",,"-212,883,063,932","880,000,000","-1,033,153,617,133","788,865,000,000","-269,606,474,360","280,360,000,000","40,921,865,582","-404,616,289,843",,"275,700,000,000",,"694,934,751,423","-756,066,211,321",,"-11,871,160,000",,"202,697,380,102","5,957,109,852","634,156,486",,"6,591,266,338"
'1/2013,,"137,049,668,372",,"9,714,983,536","-953,796,288","95,449,147","-51,623,526,858","19,122,010,356",,"113,404,788,265","294,922,455,190","-89,872,525,554","-29,358,502,073","-9,404,917,438",,"-21,889,550,695","-10,672,540,512","2,562,989,199","-3,854,061,439","245,838,134,944",,"-50,549,518,861",,"-307,504,079,687","530,612,485,020","-297,000,000,000",,"43,540,420,390","-80,900,693,138",,,,"219,965,266,012","-341,762,231,760",,"-36,789,788,750",,"-158,586,754,498","6,350,687,308","6,591,266,338","126,810","12,942,080,456"
'2/2013,,"137,049,668,372",,"9,714,983,536","-953,796,288","95,449,147","-51,623,526,858","19,122,010,356",,"113,404,788,265","294,922,455,190","-89,872,525,554","-29,358,502,073","-9,404,917,438",,"-21,889,550,695","-10,672,540,512","2,562,989,199","-3,854,061,439","245,838,134,944",,"-50,549,518,861",,"-307,504,079,687","530,612,485,020","-297,000,000,000",,"43,540,420,390","-80,900,693,138",,,,"219,965,266,012","-341,762,231,760",,"-36,789,788,750",,"-158,586,754,498","6,350,687,308","6,591,266,338","126,810","12,942,080,456"
'3/2013,,"137,049,668,372",,"9,714,983,536","-953,796,288","95,449,147","-51,623,526,858","19,122,010,356",,"113,404,788,265","294,922,455,190","-89,872,525,554","-29,358,502,073","-9,404,917,438",,"-21,889,550,695","-10,672,540,512","2,562,989,199","-3,854,061,439","245,838,134,944",,"-50,549,518,861",,"-307,504,079,687","530,612,485,020","-297,000,000,000",,"43,540,420,390","-80,900,693,138",,,,"219,965,266,012","-341,762,231,760",,"-36,789,788,750",,"-158,586,754,498","6,350,687,308","6,591,266,338","126,810","12,942,080,456"
'4/2013,,"137,049,668,372",,"9,714,983,536","-953,796,288","95,449,147","-51,623,526,858","19,122,010,356",,"113,404,788,265","294,922,455,190","-89,872,525,554","-29,358,502,073","-9,404,917,438",,"-21,889,550,695","-10,672,540,512","2,562,989,199","-3,854,061,439","245,838,134,944",,"-50,549,518,861",,"-307,504,079,687","530,612,485,020","-297,000,000,000",,"43,540,420,390","-80,900,693,138",,,,"219,965,266,012","-341,762,231,760",,"-36,789,788,750",,"-158,586,754,498","6,350,687,308","6,591,266,338","126,810","12,942,080,456"
'1/2014,,"454,024,204,707",,"14,891,990,185","320,693,362","-417,255","-326,057,573,092","45,920,592,803",,"189,099,490,710","-634,858,996,081","48,797,404,285","2,571,766,361","-2,804,981,872",,"-41,609,400,074","-20,176,907,051","5,679,241,289","-10,719,362,262","-464,021,744,695",,"-441,662,704,359","120,198,578,386","-2,197,804,320,000","912,900,000,000","-1,097,400,000,000","706,154,065,934","19,694,948,030","-1,977,919,432,009",,"2,315,399,340,000",,"942,026,340,130","-264,567,852,937",,,,"2,992,857,827,193","550,916,650,489","12,942,080,455","417,255","563,859,148,199"
'2/2014,,"454,024,204,707",,"14,891,990,185","320,693,362","-417,255","-326,057,573,092","45,920,592,803",,"189,099,490,710","-634,858,996,081","48,797,404,285","2,571,766,361","-2,804,981,872",,"-41,609,400,074","-20,176,907,051","5,679,241,289","-10,719,362,262","-464,021,744,695",,"-441,662,704,359","120,198,578,386","-2,197,804,320,000","912,900,000,000","-1,097,400,000,000","706,154,065,934","19,694,948,030","-1,977,919,432,009",,"2,315,399,340,000",,"942,026,340,130","-264,567,852,937",,,,"2,992,857,827,193","550,916,650,489","12,942,080,455","417,255","563,859,148,199"
'3/2014,,"454,024,204,707",,"14,891,990,185","320,693,362","-417,255","-326,057,573,092","45,920,592,803",,"189,099,490,710","-634,858,996,081","48,797,404,285","2,571,766,361","-2,804,981,872",,"-41,609,400,074","-20,176,907,051","5,679,241,289","-10,719,362,262","-464,021,744,695",,"-441,662,704,359","120,198,578,386","-2,197,804,320,000","912,900,000,000","-1,097,400,000,000","706,154,065,934","19,694,948,030","-1,977,919,432,009",,"2,315,399,340,000",,"942,026,340,130","-264,567,852,937",,,,"2,992,857,827,193","550,916,650,489","12,942,080,455","417,255","563,859,148,199"
'4/2014,,"454,024,204,707",,"14,891,990,185","320,693,362","-417,255","-326,057,573,092","45,920,592,803",,"189,099,490,710","-634,858,996,081","48,797,404,285","2,571,766,361","-2,804,981,872",,"-41,609,400,074","-20,176,907,051","5,679,241,289","-10,719,362,262","-464,021,744,695",,"-441,662,704,359","120,198,578,386","-2,197,804,320,000","912,900,000,000","-1,097,400,000,000","706,154,065,934","19,694,948,030","-1,977,919,432,009",,"2,315,399,340,000",,"942,026,340,130","-264,567,852,937",,,,"2,992,857,827,193","550,916,650,489","12,942,080,455","417,255","563,859,148,199"
'1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2015,,"520,243,418,550",,"7,601,043,191",,"-43,560","-309,446,855,273","22,922,723,246",,"213,098,145,372","-685,127,369,391","4,344,028,994","20,245,536,393","-7,924,754,582",,"-21,709,501,079","14,170,293,880","9,600,000","-616,600,000","-463,510,620,413",,"-1,835,257,254,672",,"-656,518,000,000","1,204,291,828,128","-454,918,382,928","171,265,934,066","258,917,180,715","-1,312,218,694,691",,"1,412,000,000,000",,"663,657,713,660","-582,755,602,332",,,,"1,492,902,111,328","-282,827,203,776","563,859,148,199",,"281,031,944,423"
'3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2016,,"722,561,471,283",,"49,397,685,409","739,977,147",,"-62,051,125,920","51,220,755,660",,"761,868,763,579","-752,128,378,427","270,659,326,283","1,127,917,439,702","-39,395,046,309",,"-51,220,755,660","-116,645,434,757","796,051,174","-1,303,921,784","1,200,548,043,801",,"-1,848,028,631,867","50,580,638,313","-1,243,755,000,000","1,169,923,246,212","-641,523,000,000",,"49,752,789,320","-2,463,049,958,022",,,,"1,573,974,539,562","-355,495,610,869",,,,"1,218,478,928,693","-44,022,985,528","163,218,530,205",,"119,195,544,677"
'3/2016,,"844,572,234,966",,"83,968,783,110","739,977,147",,"-116,756,140,639","117,672,162,877",,"930,197,017,461","-2,348,510,152,465","-325,385,314,349","2,684,969,516,411","-169,789,029,063",,"-117,672,162,877","-209,395,581,742","1,037,401,770","-2,250,321,784","443,201,373,362",,"-2,269,992,261,343","50,580,638,313","-2,117,051,904,000","1,601,699,720,213","-644,523,000,000",,"105,239,527,493","-3,274,047,279,324",,"1,081,672,040,000",,"2,024,332,765,669","-361,963,532,171",,,,"2,744,041,273,498","-86,804,632,464","163,218,530,205",,"76,413,897,741"
'4/2016,,"1,293,566,939,982",,"99,662,600,100","852,441,037",,"-487,717,442,267","222,285,192,390",,"1,128,649,731,242","-1,843,246,467,711","-479,221,933,528","3,110,508,597,304","310,338,505,875",,"352,571,227,652","-361,277,012,089",,"-14,923,057,468","2,203,399,591,276",,"-4,191,780,601,119",,"-2,117,051,904,000","1,173,621,119,054","-168,668,869,996",,"487,717,442,267","-4,816,162,813,794",,"1,081,672,040,000",,"2,916,720,539,407","-888,046,862,154",,,,"3,110,345,717,253","497,582,494,735","163,218,530,205",,"660,801,024,940"
'1/2017,,"205,485,537,606",,"32,306,840,346",,,"-35,372,290,185","58,413,930,995",,,"456,059,260,952","614,037,922,506","789,804,177,440","-56,867,577,611",,"-78,796,590,276","-29,150,641,424","317,500,000",,"1,956,238,070,349",,"-1,005,216,285,957",,,"432,317,898,632","-2,030,242,480,394",,"15,899,737,759","-2,587,241,129,960",,,,"839,037,834,177","-530,028,815,264",,,,"309,009,018,913","-321,994,040,698","660,584,242,265",,"338,590,201,567"
'2/2017,,"228,161,800,906",,"633,108,985,711","-43,028,388",,"-100,884,045,941","125,445,174,294","-4,840,840,842","880,948,045,740","-856,470,284,774","147,094,312,579","2,747,806,197,837","-87,278,627,762",,"-114,041,067,540","-232,302,109,372",,"-1,198,907,372","2,484,557,559,336",,"-2,242,563,347,175",,"-1,969,910,933,928","489,070,430,000","-242,883,300,000","100,000,000,000","112,193,067,297","-3,754,094,083,806",,,,"1,997,647,035,099","-1,074,538,892,085",,,,"923,108,143,014","-346,428,381,456","660,584,242,265",,"314,155,860,809"
'3/2017,,"347,129,574,194",,"679,414,581,968","-43,028,388",,"-319,189,615,526","214,980,432,047",,"922,291,944,295","-987,533,350,578","893,497,479,483","2,617,969,331,148","-270,763,120,505",,"-244,073,696,240","-310,030,758,775",,"-8,173,835,402","2,613,183,993,426",,"-2,900,300,991,374",,"-3,160,327,566,026","1,952,014,816,164","-50,225,386,500","101,023,000,000","182,907,624,360","-3,874,908,503,376",,,,"2,366,432,792,917","-1,452,440,389,915","-40,283,375,774",,,"873,709,027,228","-388,015,482,722","660,584,242,265",,"272,568,759,543"
'4/2017,,"561,360,119,193",,"2,589,533,602,481","200,929,382",,"-476,841,942,684","329,179,722,936",,"3,003,432,431,308","-1,399,944,819,038","7,342,014,865","3,132,592,484,328","-428,044,260,216",,"-319,852,036,909","-322,257,264,292",,"-8,865,792,472","3,670,402,757,574",,"-3,135,712,346,848","17,585,477,508","-3,765,151,490,776","1,860,895,961,164","-93,292,025,107","200,823,000,000","337,952,871,850","-4,576,898,552,209",,,,"2,397,451,972,807","-1,678,011,888,168","-6,639,578,000","-334,178,680",,"712,466,327,959","-194,029,466,676","660,584,242,265",,"466,554,775,589"
'1/2018,,"139,356,761,771",,"40,630,945,322","200,929,382",,"-132,628,495,848","78,626,343,853",,"126,186,484,480","113,160,480,003","206,472,130,800","814,839,851,998","-81,785,256,298",,"-111,906,382,903","899,111,272",,"-3,703,250,721","1,064,163,168,631",,"-1,003,144,433,196",,"-690,345,771,500","727,936,402,090",,,"21,448,877,829","-944,104,924,777",,"2,200,000,000",,"248,864,481,242","-424,334,912,332","-3,100,959,000","-182,934,844,755",,"-359,306,234,845","-239,247,990,991","465,835,197,829",,"226,587,206,838"
'2/2018,,"205,641,414,475",,"636,838,905,918","86,055,149,379",,"-268,969,999,650","162,650,750,053",,"822,216,220,175","-250,176,335,744","23,411,430,253","2,596,865,684,644","-222,684,024,853",,"-1,044,775,994,429","-112,190,953,500","10,404,823,153","-6,233,350,829","2,632,269,039,618",,"-1,633,090,224,026",,"-1,812,168,000,000","2,246,336,139,716","-914,036,414,895",,"301,566,338,386","-1,811,392,160,819",,,,"797,323,207,127",,"-6,201,918,000","-196,693,073,460",,"-450,347,778,762","370,529,100,037","465,835,197,829",,"836,364,297,866"
'3/2018,,"309,760,986,354",,"612,499,356,951","40,891,612,505","-248,206,284","-474,669,000,362","242,419,198,003",,"730,653,947,167","-586,892,092,678","-54,226,261,648","3,781,150,509,121","-300,714,168,950",,"-268,254,922,224","-152,188,803,632",,"-6,778,600,000","3,093,187,429,477",,"-2,543,742,883,787",,"-4,444,594,867,178","4,143,130,000,000","-494,040,000,000",,"383,840,726,165","-2,955,407,024,800",,"2,200,000,000",,"2,177,274,018,996","-1,583,506,120,493","-10,013,426,000","-191,409,651,000",,"394,544,821,503","532,325,226,180","465,835,197,829",,"998,160,424,009"
'4/2018,,"585,972,920,982",,"644,782,937,065","43,014,624,597",,"-917,008,730,203","308,311,558,832",,"665,073,311,273","-405,421,393,623","-528,113,105,310","1,705,461,122,083","-387,914,383,250",,"-431,811,569,466","-166,957,460,304",,,"446,561,871,757",,"-3,343,027,258,674","409,175,346","-4,603,652,200,000","6,085,470,715,504","-494,004,000,000","664,370,000,000","521,214,362,386","-1,169,219,205,438",,"2,200,000,000",,"2,989,778,207,215","-2,195,086,239,593","-14,016,699,000","-191,409,651,000",,"591,465,617,622","-131,191,716,059","465,835,197,829",,"334,643,481,770"
'1/2019,,"72,012,866,558",,"44,153,637,391","14,771,300,000",,"-301,020,310,601","86,910,463,669",,"-83,172,042,983","-90,198,855,292","319,558,992,364","529,090,843,634","-362,127,839,573",,"-109,352,858,514","-9,516,407,283",,,"194,281,642,353",,"-734,927,286,226",,"-724,935,047,756","940,444,011,836",,"7,000,000,000","309,067,809,089","-203,350,513,057",,,,"704,580,379,231","-584,360,791,495","-4,169,607,000",,,"116,049,980,736","106,981,110,032","334,136,492,896",,"441,117,602,928"
'2/2019,,"151,184,119,764",,"39,671,246,274","15,565,900,000","3,404,777,581","-1,020,783,945,567","260,326,280,986",,"-550,631,620,962","-312,086,168,911","-173,163,872,945","2,610,448,559,834","-446,032,061,431",,"-202,277,022,281","-18,612,567,930","9,471,924,161","-1,210,380,280","915,906,599,255",,"-1,111,211,014,027",,"-3,730,329,431,493","2,856,621,801,467","-950,500,000","301,000,000,000","185,064,662,760","-1,499,804,481,293",,,,"2,353,438,210,972","-1,667,909,522,566","-8,769,061,000",,,"676,759,627,406","92,861,745,368","334,136,492,896",,"426,998,238,264"
'3/2019,,"277,982,261,103",,"81,280,617,495","14,695,907,726","900,200,337","-1,565,114,727,599","386,460,390,845",,"-803,795,350,093","-252,506,129,469","190,076,531,227","4,289,397,062,387","-1,063,548,354,396",,"-381,090,639,766","-194,823,893,101","18,891,875,490","-8,260,566,046","1,899,540,346,233",,"-2,533,602,323,679","15,901,405,593","-6,085,725,677,927","3,944,743,320,297","-94,583,000,000","1,692,595,725,500","349,633,407,400","-2,711,037,142,816",,,,"4,083,437,567,250","-3,207,832,151,110","-14,803,129,000",,,"860,802,287,140","49,305,490,557","334,136,492,896",,"383,441,983,453"
'4/2019,,"783,084,319,546",,"-11,002,857,864","33,443,221,059","7,519,756,235","-3,013,551,116,585","499,822,167,370",,"-1,700,684,510,239","-254,518,837,096","123,493,054,493","6,104,607,390,990","-1,480,263,098,573",,"-507,552,058,416","-195,107,587,239","4,838,963,998","-3,041,521,106","1,623,621,606,812",,"-3,421,607,278,412","15,901,392,500","-12,215,342,995,428","10,930,053,401,574","-1,552,952,500,000","1,837,595,725,500","631,492,788,530","-3,774,859,465,736",,"1,100,000,000,000",,"6,245,214,487,707","-4,873,918,761,856","-20,644,995,000",,,"2,450,650,730,851","299,412,871,927","334,136,492,896","619,637,834","634,169,002,657"
'1/2020,,"-1,886,672,634,858",,"44,952,937,518","223,225,354,459",,,,,"-1,693,144,977,621","-2,083,867,638,350","-42,415,465,952","3,559,397,189,015","-198,901,652,945",,"-107,785,314,837","-475,901,708","5,938,308,070","-777,491,933","-551,590,072,631",,"-444,877,771,666",,"-972,082,368,493","1,039,159,901,990","-109,363,000,000","70,000,000,000","125,947,253,309","-291,215,984,860",,"14,679,400,000",,"1,843,916,529,727","-1,596,253,039,443","-4,113,630,000",,,"258,229,260,284","-584,576,797,207","130,819,935,051","143,352,428","48,523,721,601"
'2/2020,,"-2,725,481,586,553",,"85,069,762,374","21,609,064,107","1,115,359,943","-239,496,943,957","245,035,741,994",,"-2,612,148,602,092","244,076,100,730","-232,594,930,796","4,085,838,396,245","-100,425,944,877",,"-206,153,381,170","-4,807,656,694","6,660,475,997","-2,121,813,200","1,308,208,968,437",,"-691,156,877,261",,"-1,337,593,825,888","2,056,752,131,017","-1,575,916,000,000","188,704,000,000","256,511,956,164","-1,102,698,615,968",,"14,679,400,000",,"2,639,247,509,440","-3,025,338,618,070","-8,259,855,641",,,"-379,671,564,271","-174,161,211,802","632,957,166,380","143,352,428","458,939,307,006"
'3/2020,,"-2,208,354,842,820",,"126,746,550,207","7,621,662,466","1,115,822,343","-1,520,562,258,393","381,390,577,282",,"-3,212,042,488,915","-2,414,932,635,600","-104,127,640,899","8,127,627,512,805","-58,030,659,113",,"-437,358,290,065","-19,698,068,251","49,272,657,862","-3,070,945,116","2,057,525,767,002",,"-1,109,206,516,881",,"-2,391,637,439,201","2,503,405,401,032","-1,635,760,440,000","185,104,000,000","311,326,805,848","-2,136,768,189,203",,"14,679,400,000",,"4,713,901,057,310","-5,018,114,600,156","-12,683,811,475",,,"-302,217,954,321","-381,460,376,522","632,957,166,380",,"251,496,789,858"
'4/2020,,"292,801,084,806",,"176,373,255,659","132,252,632","6,984,441,049","-5,080,989,828,761","553,689,895,470",,"-4,051,008,899,145","3,685,718,279,295","827,950,806,447","3,424,470,101,270","-212,836,055,515",,"-520,048,383,985","-55,968,094,716","4,812,118,418","-5,108,674,337","3,268,981,197,732",,"-1,543,263,874,351","277,000,000","-4,420,384,914,072","3,591,924,908,702","-1,635,840,440,000","392,679,400,000","473,927,003,960","-3,140,680,915,761",,"163,607,000,000",,"6,890,770,483,239","-6,582,142,689,513","-19,070,210,626",,,"453,164,583,100","592,437,331,608","632,957,166,380",,"1,214,422,031,451"
'1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'3/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'3/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
