Quý,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản, Khấu hao TSCĐ và BĐSĐT, Các khoản dự phòng," Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ"," Lãi, lỗ từ hoạt động đầu tư", Chi phí lãi vay, Các khoản điều chỉnh khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động," Tăng, giảm các khoản phải thu"," Tăng, giảm hàng tồn kho"," Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)"," Tăng, giảm chi phí trả trước"," Tăng, giảm chứng khoán kinh doanh", Tiền lãi vay đã trả, Thuế thu nhập doanh nghiệp đã nộp, Tiền thu khác từ hoạt động kinh doanh, Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5.Tiền chi đầu tư góp vốn vào đơn vị khác,6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3.Tiền thu từ đi vay,4.Tiền chi trả nợ gốc vay,5.Tiền chi trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu từ vốn góp của cổ đông không kiểm soát,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
'3/2010,,"1,564,151,094,066",,"358,821,928,950","-532,403,447","77,615,698,472","-198,459,584,848","413,090,188,796",,"2,305,558,130,255","-270,860,849,472","-676,327,671,681","-256,934,982,422","-58,269,901,758",,"-393,268,078,518","-265,793,824,683","135,447,050,025","-121,339,205,479","398,210,666,267",,"-979,887,380,364","177,668,358,381","-440,315,194,592","309,875,860,000","-639,735,062,583","9,476,820,411","141,661,603,051","-1,421,254,995,696",,"8,456,520,000",,"10,862,814,502,121","-9,647,393,130,599","-163,190,854","-637,985,549,983",,"585,729,150,685","-437,315,178,744","1,480,490,925,374","4,001,480,631","1,047,177,227,261"
'4/2010,,"1,564,151,094,066",,"358,821,928,950","-532,403,447","77,615,698,472","-198,459,584,848","413,090,188,796",,"2,305,558,130,255","-270,860,849,472","-676,327,671,681","-256,934,982,422","-58,269,901,758",,"-393,268,078,518","-265,793,824,683","135,447,050,025","-121,339,205,479","398,210,666,267",,"-979,887,380,364","177,668,358,381","-440,315,194,592","309,875,860,000","-639,735,062,583","9,476,820,411","141,661,603,051","-1,421,254,995,696",,"8,456,520,000",,"10,862,814,502,121","-9,647,393,130,599","-163,190,854","-637,985,549,983",,"585,729,150,685","-437,315,178,744","1,480,490,925,374","4,001,480,631","1,047,177,227,261"
'1/2011,,,,"541,922,822,267","79,970,656,805","73,528,264,937","-168,431,397,099","765,583,007,409",,"2,906,294,120,101","67,002,771,904","-1,874,369,887,775","331,845,438,220","-72,283,657,603",,"-732,210,383,763","-223,787,156,839","1,878,015,021","-100,176,250,921","304,193,008,344",,"-1,723,752,583,204","14,471,773,287",,"335,859,840,000","-2,356,908,790","314,022,199,450","183,710,509,234","-936,998,386,286",,"88,085,000,000","-150,970,558,021","17,042,399,604,265","-16,327,876,309,624",,"-2,863,876,264",,"648,773,860,356","15,968,482,414","1,047,177,227,261","1,238,380,867","1,064,384,090,542"
'2/2011,,,,"541,922,822,267","79,970,656,805","73,528,264,937","-168,431,397,099","765,583,007,409",,"2,906,294,120,101","67,002,771,904","-1,874,369,887,775","331,845,438,220","-72,283,657,603",,"-732,210,383,763","-223,787,156,839","1,878,015,021","-100,176,250,921","304,193,008,344",,"-1,723,752,583,204","14,471,773,287",,"335,859,840,000","-2,356,908,790","314,022,199,450","183,710,509,234","-936,998,386,286",,"88,085,000,000","-150,970,558,021","17,042,399,604,265","-16,327,876,309,624",,"-2,863,876,264",,"648,773,860,356","15,968,482,414","1,047,177,227,261","1,238,380,867","1,064,384,090,542"
'3/2011,,,,"541,922,822,267","79,970,656,805","73,528,264,937","-168,431,397,099","765,583,007,409",,"2,906,294,120,101","67,002,771,904","-1,874,369,887,775","331,845,438,220","-72,283,657,603",,"-732,210,383,763","-223,787,156,839","1,878,015,021","-100,176,250,921","304,193,008,344",,"-1,723,752,583,204","14,471,773,287",,"335,859,840,000","-2,356,908,790","314,022,199,450","183,710,509,234","-936,998,386,286",,"88,085,000,000","-150,970,558,021","17,042,399,604,265","-16,327,876,309,624",,"-2,863,876,264",,"648,773,860,356","15,968,482,414","1,047,177,227,261","1,238,380,867","1,064,384,090,542"
'4/2011,,,,"541,922,822,267","79,970,656,805","73,528,264,937","-168,431,397,099","765,583,007,409",,"2,906,294,120,101","67,002,771,904","-1,874,369,887,775","331,845,438,220","-72,283,657,603",,"-732,210,383,763","-223,787,156,839","1,878,015,021","-100,176,250,921","304,193,008,344",,"-1,723,752,583,204","14,471,773,287",,"335,859,840,000","-2,356,908,790","314,022,199,450","183,710,509,234","-936,998,386,286",,"88,085,000,000","-150,970,558,021","17,042,399,604,265","-16,327,876,309,624",,"-2,863,876,264",,"648,773,860,356","15,968,482,414","1,047,177,227,261","1,238,380,867","1,064,384,090,542"
'1/2012,,"1,218,205,340,654",,"596,227,337,059","90,834,354,093","1,105,860,020","-127,834,058,603","526,970,967,624",,"2,430,601,819,287","-58,060,734,370","-444,727,394,130","1,256,558,631,126","46,907,773,104",,"-620,947,691,630","-230,283,194,389","3,021,354,308","-113,692,912,579","2,269,377,650,727",,"-1,828,105,150,975","51,448,674,795","-222,260,641,965","1,600,000,000","-1,500,000,000","356,306,160,000","66,064,545,910","-1,659,668,272,235",,"100,459,025,089",,"18,070,024,211,394","-18,188,281,993,321",,"-361,790,013,579",,"-379,588,770,416","230,120,608,076","1,064,384,090,542","-10,998,131","1,294,493,700,487"
'2/2012,,"1,218,205,340,654",,"596,227,337,059","90,834,354,093","1,105,860,020","-127,834,058,603","526,970,967,624",,"2,430,601,819,287","-58,060,734,370","-444,727,394,130","1,256,558,631,126","46,907,773,104",,"-620,947,691,630","-230,283,194,389","3,021,354,308","-113,692,912,579","2,269,377,650,727",,"-1,828,105,150,975","51,448,674,795","-222,260,641,965","1,600,000,000","-1,500,000,000","356,306,160,000","66,064,545,910","-1,659,668,272,235",,"100,459,025,089",,"18,070,024,211,394","-18,188,281,993,321",,"-361,790,013,579",,"-379,588,770,416","230,120,608,076","1,064,384,090,542","-10,998,131","1,294,493,700,487"
'3/2012,,"1,218,205,340,654",,"596,227,337,059","90,834,354,093","1,105,860,020","-127,834,058,603","526,970,967,624",,"2,430,601,819,287","-58,060,734,370","-444,727,394,130","1,256,558,631,126","46,907,773,104",,"-620,947,691,630","-230,283,194,389","3,021,354,308","-113,692,912,579","2,269,377,650,727",,"-1,828,105,150,975","51,448,674,795","-222,260,641,965","1,600,000,000","-1,500,000,000","356,306,160,000","66,064,545,910","-1,659,668,272,235",,"100,459,025,089",,"18,070,024,211,394","-18,188,281,993,321",,"-361,790,013,579",,"-379,588,770,416","230,120,608,076","1,064,384,090,542","-10,998,131","1,294,493,700,487"
'4/2012,,"1,218,205,340,654",,"596,227,337,059","90,834,354,093","1,105,860,020","-127,834,058,603","526,970,967,624",,"2,430,601,819,287","-58,060,734,370","-444,727,394,130","1,256,558,631,126","46,907,773,104",,"-620,947,691,630","-230,283,194,389","3,021,354,308","-113,692,912,579","2,269,377,650,727",,"-1,828,105,150,975","51,448,674,795","-222,260,641,965","1,600,000,000","-1,500,000,000","356,306,160,000","66,064,545,910","-1,659,668,272,235",,"100,459,025,089",,"18,070,024,211,394","-18,188,281,993,321",,"-361,790,013,579",,"-379,588,770,416","230,120,608,076","1,064,384,090,542","-10,998,131","1,294,493,700,487"
'1/2013,,"2,394,404,194,432",,"720,195,566,311","-147,647,242,587","9,755,308,690","-239,922,767,209","370,947,849,826",,"3,382,756,788,189","184,894,312,063","-1,216,858,380,400","1,674,080,391,405","43,029,826,617",,"-558,923,619,216","-200,847,280,440","21,180,037,819","-95,479,361,817","3,233,832,714,220",,"-2,921,311,668,380","11,605,368,430","-163,135,157,802",,,"116,266,905,518","100,056,500,126","-3,252,465,252,108",,"620,000,000",,"18,941,877,013,166","-17,672,451,806,682",,"-420,496,176,570",,"849,549,029,914","830,916,492,026","1,294,493,700,487","-87,801,816","2,125,322,390,697"
'2/2013,,"2,394,404,194,432",,"720,195,566,311","-147,647,242,587","9,755,308,690","-239,922,767,209","370,947,849,826",,"3,382,756,788,189","184,894,312,063","-1,216,858,380,400","1,674,080,391,405","43,029,826,617",,"-558,923,619,216","-200,847,280,440","21,180,037,819","-95,479,361,817","3,233,832,714,220",,"-2,921,311,668,380","11,605,368,430","-163,135,157,802",,,"116,266,905,518","100,056,500,126","-3,252,465,252,108",,"620,000,000",,"18,941,877,013,166","-17,672,451,806,682",,"-420,496,176,570",,"849,549,029,914","830,916,492,026","1,294,493,700,487","-87,801,816","2,125,322,390,697"
'3/2013,,"2,394,404,194,432",,"720,195,566,311","-147,647,242,587","9,755,308,690","-239,922,767,209","370,947,849,826",,"3,382,756,788,189","184,894,312,063","-1,216,858,380,400","1,674,080,391,405","43,029,826,617",,"-558,923,619,216","-200,847,280,440","21,180,037,819","-95,479,361,817","3,233,832,714,220",,"-2,921,311,668,380","11,605,368,430","-163,135,157,802",,,"116,266,905,518","100,056,500,126","-3,252,465,252,108",,"620,000,000",,"18,941,877,013,166","-17,672,451,806,682",,"-420,496,176,570",,"849,549,029,914","830,916,492,026","1,294,493,700,487","-87,801,816","2,125,322,390,697"
'4/2013,,"2,394,404,194,432",,"720,195,566,311","-147,647,242,587","9,755,308,690","-239,922,767,209","370,947,849,826",,"3,382,756,788,189","184,894,312,063","-1,216,858,380,400","1,674,080,391,405","43,029,826,617",,"-558,923,619,216","-200,847,280,440","21,180,037,819","-95,479,361,817","3,233,832,714,220",,"-2,921,311,668,380","11,605,368,430","-163,135,157,802",,,"116,266,905,518","100,056,500,126","-3,252,465,252,108",,"620,000,000",,"18,941,877,013,166","-17,672,451,806,682",,"-420,496,176,570",,"849,549,029,914","830,916,492,026","1,294,493,700,487","-87,801,816","2,125,322,390,697"
'1/2014,,"3,769,520,728,432",,"1,106,005,660,313","209,663,586,663","82,549,401,774","-23,625,391,281","350,628,944,467",,"5,739,629,711,969","-39,335,171,949","235,303,034,097","-2,199,063,441,613","-105,592,294,575",,"-325,690,062,547","-575,207,645,980","33,084,042,052","-81,054,853,105","2,682,073,318,349",,"-1,084,828,194,450","21,687,699,513","-158,593,682,578",,,"1,500,000,000","107,306,447,497","-1,169,883,322,879",,,,"21,167,443,398,643","-22,097,815,712,253",,"-681,451,419,825",,"-1,611,348,733,435","-99,158,737,965","2,125,322,390,697","116,814,973","2,026,280,467,705"
'2/2014,,"3,769,520,728,432",,"1,106,005,660,313","209,663,586,663","82,549,401,774","-23,625,391,281","350,628,944,467",,"5,739,629,711,969","-39,335,171,949","235,303,034,097","-2,199,063,441,613","-105,592,294,575",,"-325,690,062,547","-575,207,645,980","33,084,042,052","-81,054,853,105","2,682,073,318,349",,"-1,084,828,194,450","21,687,699,513","-158,593,682,578",,,"1,500,000,000","107,306,447,497","-1,169,883,322,879",,,,"21,167,443,398,643","-22,097,815,712,253",,"-681,451,419,825",,"-1,611,348,733,435","-99,158,737,965","2,125,322,390,697","116,814,973","2,026,280,467,705"
'3/2014,,"3,769,520,728,432",,"1,106,005,660,313","209,663,586,663","82,549,401,774","-23,625,391,281","350,628,944,467",,"5,739,629,711,969","-39,335,171,949","235,303,034,097","-2,199,063,441,613","-105,592,294,575",,"-325,690,062,547","-575,207,645,980","33,084,042,052","-81,054,853,105","2,682,073,318,349",,"-1,084,828,194,450","21,687,699,513","-158,593,682,578",,,"1,500,000,000","107,306,447,497","-1,169,883,322,879",,,,"21,167,443,398,643","-22,097,815,712,253",,"-681,451,419,825",,"-1,611,348,733,435","-99,158,737,965","2,125,322,390,697","116,814,973","2,026,280,467,705"
'4/2014,,"3,769,520,728,432",,"1,106,005,660,313","209,663,586,663","82,549,401,774","-23,625,391,281","350,628,944,467",,"5,739,629,711,969","-39,335,171,949","235,303,034,097","-2,199,063,441,613","-105,592,294,575",,"-325,690,062,547","-575,207,645,980","33,084,042,052","-81,054,853,105","2,682,073,318,349",,"-1,084,828,194,450","21,687,699,513","-158,593,682,578",,,"1,500,000,000","107,306,447,497","-1,169,883,322,879",,,,"21,167,443,398,643","-22,097,815,712,253",,"-681,451,419,825",,"-1,611,348,733,435","-99,158,737,965","2,125,322,390,697","116,814,973","2,026,280,467,705"
'1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2015,,"2,146,249,818,656",,"586,713,806,543","11,262,562,200","57,941,582,150","-4,847,439,835","109,641,559,405",,"2,967,707,344,107","-221,583,243,153","1,238,366,216,355","-147,935,436,597","24,955,407,201",,"-146,493,725,095","-284,478,499,093",,"-101,633,853,214","3,328,904,210,511",,"-2,009,166,830,027","4,364,414,482","-903,413,275,823","343,469,232,554",,,"46,367,432,640","-2,518,379,026,174",,"58,500,000",,"12,282,151,907,021","-12,557,302,248,966",,"-539,220,984,457",,"-814,312,826,402","-3,787,642,065","2,026,280,467,705","12,588,800","2,022,505,414,440"
'3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1/2016,,"1,211,372,613,286",,"353,668,480,131","-28,304,906,688","-3,950,169,382","-26,921,804,949","81,042,378,600",,"1,592,641,545,219","64,262,188,564","933,139,505,285","-360,050,646,030","23,137,601,903",,"-116,050,624,405","-301,624,696,806",,"-91,887,886,455","1,743,566,987,275",,"-670,935,842,397","903,986,138","-355,659,073,764","290,321,710,394","-73,131,328,075",,"33,572,675,627","-774,927,872,077",,,,"5,959,366,812,658","-6,374,076,795,436",,"-456,946,831",,"-415,166,929,609","553,472,185,589","2,372,761,840,865","-95,550,437","2,926,138,476,017"
'2/2016,,"3,593,145,116,184",,"778,128,770,080","-46,817,051,176","14,510,251,319","-96,473,541,696","148,370,753,103",,"4,401,755,361,953","159,945,393,122","-1,259,544,602,211","-55,363,251,801","49,521,091,855",,"-150,411,570,822","-365,689,491,617",,"-107,155,680,914","2,673,057,249,561",,"-1,261,256,016,863","20,877,282,205","-356,914,691,059","581,076,567,537","-73,131,328,075",,"83,074,863,883","-1,006,273,322,373",,,,"9,417,894,249,551","-10,428,923,224,584",,"-1,558,881,696",,"-1,012,587,856,727","654,196,070,465","2,372,761,840,865","-113,146,531","3,026,844,764,799"
'3/2016,,"1,855,716,288,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2016,,"7,701,806,735,906",,"1,654,261,385,297","-118,605,705,660","19,673,072,550","-49,200,277,232","280,011,238,165",,"9,509,149,732,999","-784,503,857,750","-3,227,506,545,824","2,133,543,420,258","125,126,006,085",,"-280,727,922,151","-846,075,107,851",,"-139,155,467,827","6,489,850,257,939",,"-2,900,879,371,729","20,753,047,659","-1,881,264,594,513","1,990,507,094,031","-73,131,328,075",,"42,029,116,654","-2,801,986,035,973",,,"-170,000,000","23,349,644,965,119","-23,749,857,081,250",,"-1,101,837,373,562",,"-1,502,219,489,693","2,185,644,732,273","2,372,761,840,865","254,140,367","4,558,660,713,505"
'1/2017,,"2,242,908,787,766",,"5,156,109,917","-5,127,467,707","1,055,827,571","-36,657,312,451","83,754,910,316",,"2,763,177,932,469","-224,961,014,404","-492,313,380,351","-842,569,434,594","-30,152,684,582",,"-81,058,955,443","-742,733,739,918","3,636,650,000","-136,220,414,230","216,804,958,947",,"-638,806,317,086","3,118,356,422","-4,980,628,741,489","30,100,588,634",,,"28,171,851,619","-5,558,044,261,900",,,,"3,524,671,584,538","-360,000,000,000",,"-1,108,892,177",,"3,163,562,692,361","-2,177,676,610,592","4,558,660,713,745","-546,967,025","2,380,437,136,128"
'2/2017,,"4,050,764,444,752",,"956,832,088,988","-2,158,788,575","5,877,905,384","-53,395,411,026","213,764,841,662",,"5,181,997,301,020","-553,699,581,704","-675,643,334,713","-79,462,175,494","-20,776,865,651",,"-213,802,763,003","-876,633,681,901","3,865,450,000","-181,660,609,228","2,584,183,739,326",,"-1,800,401,848,195","5,878,168,644","-7,121,079,998,415","44,890,620,768",,,"86,373,273,121","-8,784,339,784,077",,,,,,,,,,,,,
'3/2017,,"6,538,675,455,492",,"15,468,329,753","3,436,904,102","5,330,432,129","-75,121,690,364","344,688,784,104",,"8,286,004,780,068","142,734,498,746","-1,482,460,061,439","-710,034,930,999","-19,438,875,187",,"-342,126,057,951","-901,484,541,392",,"-181,011,336,064","4,792,183,475,782",,"-5,668,146,269,845","6,855,643,066","-18,945,467,910,070","7,731,601,182,587",,,"107,992,670,555","-16,767,164,683,707",,"5,057,285,360,000",,"27,576,667,948,408","-22,623,269,609,517",,"-2,529,120,768",,"10,008,154,578,123","-1,966,826,629,802","4,558,660,713,745","30,399,043","2,591,864,482,986"
'4/2017,,"9,288,369,742,696",,"2,015,042,393,661","-12,870,919,019","-4,767,390,948","-107,888,630,878","479,707,569,855",,"11,657,592,765,367","-463,047,227,149","-2,197,488,422,468","-428,408,499,107","-65,798,077,029",,"-473,337,280,982","-1,723,779,496,359",,"-249,895,157,378","6,055,838,604,895",,"-8,881,455,137,034","7,900,487,958","-13,644,057,693,450","4,461,988,265,600","-40,833,411,607","651,015,518","172,391,829,918","-17,923,414,643,097",,"5,057,285,360,000",,"37,194,696,510,889","-30,674,534,262,267",,"-3,621,248,000",,"11,573,826,360,622","-293,749,677,580","4,558,660,713,745","-269,081,476","4,264,641,954,689"
